year,cipcode,major_number,total,instnm,cip_code,humanities_discipline,classification,total_students,total_degrees
2005,45.0701,1,6,University of Chicago,Geography,NA,Social & Behavioral Sciences,1072,1285
2005,45.0701,2,2,University of Chicago,Geography,NA,Social & Behavioral Sciences,1072,1285
2005,45.0901,1,38,University of Chicago,International Relations and Affairs,NA,Social & Behavioral Sciences,1072,1285
2005,45.0901,2,6,University of Chicago,International Relations and Affairs,NA,Social & Behavioral Sciences,1072,1285
2005,45.1001,1,89,University of Chicago,"Political Science and Government, General",NA,Social & Behavioral Sciences,1072,1285
2005,45.1001,2,27,University of Chicago,"Political Science and Government, General",NA,Social & Behavioral Sciences,1072,1285
2005,45.1101,1,27,University of Chicago,"Sociology, General",NA,Social & Behavioral Sciences,1072,1285
2005,45.1101,2,1,University of Chicago,"Sociology, General",NA,Social & Behavioral Sciences,1072,1285
2005,45.9999,1,23,University of Chicago,"Social Sciences, Other",NA,Social & Behavioral Sciences,1072,1285
2005,45.9999,2,3,University of Chicago,"Social Sciences, Other",NA,Social & Behavioral Sciences,1072,1285
2005,50.0601,1,10,University of Chicago,Film/Cinema/Media Studies,Study of the Arts,Humanities,1072,1285
2005,50.0601,2,1,University of Chicago,Film/Cinema/Media Studies,Study of the Arts,Humanities,1072,1285
2005,50.0703,1,11,University of Chicago,"Art History, Criticism and Conservation",Study of the Arts,Humanities,1072,1285
2005,50.0703,2,0,University of Chicago,"Art History, Criticism and Conservation",Study of the Arts,Humanities,1072,1285
2005,50.0901,1,2,University of Chicago,"Music, General",NA,Fine & Performing Arts,1072,1285
2005,50.0901,2,1,University of Chicago,"Music, General",NA,Fine & Performing Arts,1072,1285
2005,50.9999,1,5,University of Chicago,"Visual and Performing Arts, Other",NA,Fine & Performing Arts,1072,1285
2005,50.9999,2,5,University of Chicago,"Visual and Performing Arts, Other",NA,Fine & Performing Arts,1072,1285
2005,54.0101,1,63,University of Chicago,"History, General",History,Humanities,1072,1285
2005,54.0101,2,3,University of Chicago,"History, General",History,Humanities,1072,1285
2005,54.0104,1,14,University of Chicago,History and Philosophy of Science and Technology,History,Humanities,1072,1285
2005,54.0104,2,0,University of Chicago,History and Philosophy of Science and Technology,History,Humanities,1072,1285
