date,shelter,count,area
8/25/2023,Harold Washington Library,,loop
8/25/2023,High Ridge YMCA,160,north
8/25/2023,Inn of Chicago,1550,loop
8/25/2023,Lakeshore Hotel,,south
8/25/2023,Leone Beach,101,north
8/25/2023,Little Village - Pulaski CVS,,west
8/25/2023,MWRD,,north
8/25/2023,Near South Health Center,154,south
8/25/2023,New Life Church,,north
8/25/2023,North Park Village,174,north
8/25/2023,North Western,,west
8/25/2023,Ogden,,west
8/25/2023,Parthenon,,west
8/25/2023,Piotrowski Park,200,west
8/25/2023,Shield of Hope,,west
8/25/2023,Social Club,1187,loop
8/25/2023,Super 8 Motel,282,north
8/25/2023,Wadsworth,607,south
8/25/2023,Walnut,,west
8/25/2023,West Lake,,west
8/25/2023,Wright,,north
8/25/2023,YWLA,248,south
9/1/2023,American Islamic College,814,north
9/1/2023,Brands Park,145,north
9/1/2023,Broadway Armory,350,north
9/1/2023,Casa Esperanza,,west
9/1/2023,Daley College,256,south
9/1/2023,Elston,,west
9/1/2023,Gage Park,322,south
9/1/2023,Halsted,60,south
9/1/2023,Harold Washington Library,,loop
9/1/2023,High Ridge YMCA,158,north
9/1/2023,Inn of Chicago,1543,loop
9/1/2023,Lakeshore Hotel,,south
9/1/2023,Leone Beach,101,north
9/1/2023,Little Village - Pulaski CVS,,west
9/1/2023,MWRD,,north
9/1/2023,Near South Health Center,153,south
9/1/2023,New Life Church,50,north
9/1/2023,North Park Village,176,north
9/1/2023,North Western,,west
9/1/2023,Ogden,,west
9/1/2023,Parthenon,,west
9/1/2023,Piotrowski Park,200,west
9/1/2023,Shield of Hope,,west
9/1/2023,Social Club,1176,loop
9/1/2023,Super 8 Motel,285,north
9/1/2023,Wadsworth,623,south
9/1/2023,Walnut,,west
9/1/2023,West Lake,,west
9/1/2023,Wright,,north
9/1/2023,YWLA,250,south
9/8/2023,American Islamic College,828,north
9/8/2023,Brands Park,146,north
9/8/2023,Broadway Armory,349,north
9/8/2023,Casa Esperanza,,west
9/8/2023,Daley College,252,south
9/8/2023,Elston,,west
9/8/2023,Gage Park,329,south
9/8/2023,Halsted,61,south
9/8/2023,Harold Washington Library,,loop
9/8/2023,High Ridge YMCA,158,north
9/8/2023,Inn of Chicago,1503,loop
9/8/2023,Lakeshore Hotel,377,south
9/8/2023,Leone Beach,91,north
9/8/2023,Little Village - Pulaski CVS,,west
9/8/2023,MWRD,,north
9/8/2023,Near South Health Center,150,south
9/8/2023,New Life Church,50,north
9/8/2023,North Park Village,178,north
9/8/2023,North Western,,west
9/8/2023,Ogden,,west
9/8/2023,Parthenon,,west
9/8/2023,Piotrowski Park,197,west
9/8/2023,Shield of Hope,,west
9/8/2023,Social Club,1179,loop
9/8/2023,Super 8 Motel,285,north
9/8/2023,Wadsworth,611,south
9/8/2023,Walnut,,west
9/8/2023,West Lake,,west
9/8/2023,Wright,,north
9/8/2023,YWLA,247,south
9/15/2023,American Islamic College,996,north
9/15/2023,Brands Park,139,north
9/15/2023,Broadway Armory,350,north
9/15/2023,Casa Esperanza,,west
9/15/2023,Daley College,253,south
9/15/2023,Elston,,west
9/15/2023,Gage Park,329,south
9/15/2023,Halsted,,south
9/15/2023,Harold Washington Library,,loop
9/15/2023,High Ridge YMCA,155,north
9/15/2023,Inn of Chicago,1553,loop
9/15/2023,Lakeshore Hotel,603,south
9/15/2023,Leone Beach,99,north
9/15/2023,Little Village - Pulaski CVS,,west
9/15/2023,MWRD,,north
9/15/2023,Near South Health Center,152,south
9/15/2023,New Life Church,50,north
9/15/2023,North Park Village,178,north
9/15/2023,North Western,,west
9/15/2023,Ogden,,west
9/15/2023,Parthenon,,west
9/15/2023,Piotrowski Park,200,west
9/15/2023,Shield of Hope,,west
9/15/2023,Social Club,1170,loop
9/15/2023,Super 8 Motel,278,north
9/15/2023,Wadsworth,619,south
9/15/2023,Walnut,,west
9/15/2023,West Lake,,west
9/15/2023,Wright,,north
9/15/2023,YWLA,246,south
9/22/2023,American Islamic College,992,north
9/22/2023,Brands Park,151,north
9/22/2023,Broadway Armory,350,north
9/22/2023,Casa Esperanza,,west
9/22/2023,Daley College,252,south
9/22/2023,Elston,,west
9/22/2023,Gage Park,326,south
9/22/2023,Halsted,,south
9/22/2023,Harold Washington Library,,loop
9/22/2023,High Ridge YMCA,160,north
9/22/2023,Inn of Chicago,1530,loop
9/22/2023,Lakeshore Hotel,602,south
9/22/2023,Leone Beach,101,north
9/22/2023,Little Village - Pulaski CVS,,west
9/22/2023,MWRD,390,north
9/22/2023,Near South Health Center,155,south
9/22/2023,New Life Church,49,north
9/22/2023,North Park Village,179,north
9/22/2023,North Western,,west
9/22/2023,Ogden,100,west
9/22/2023,Parthenon,185,west
9/22/2023,Piotrowski Park,195,west
9/22/2023,Shield of Hope,,west
9/22/2023,Social Club,1191,loop
9/22/2023,Super 8 Motel,283,north
9/22/2023,Wadsworth,623,south
9/22/2023,Walnut,401,west
9/22/2023,West Lake,,west
9/22/2023,Wright,,north
9/22/2023,YWLA,245,south
9/29/2023,American Islamic College,1000,north
9/29/2023,Brands Park,145,north
9/29/2023,Broadway Armory,347,north
9/29/2023,Casa Esperanza,,west
9/29/2023,Daley College,255,south
9/29/2023,Elston,,west
9/29/2023,Gage Park,388,south
9/29/2023,Halsted,,south
9/29/2023,Harold Washington Library,,loop
9/29/2023,High Ridge YMCA,159,north
9/29/2023,Inn of Chicago,1529,loop
9/29/2023,Lakeshore Hotel,598,south
9/29/2023,Leone Beach,99,north
9/29/2023,Little Village - Pulaski CVS,,west
9/29/2023,MWRD,547,north
9/29/2023,Near South Health Center,155,south
9/29/2023,New Life Church,51,north
9/29/2023,North Park Village,181,north
9/29/2023,North Western,,west
9/29/2023,Ogden,650,west
9/29/2023,Parthenon,184,west
9/29/2023,Piotrowski Park,200,west
9/29/2023,Shield of Hope,,west
9/29/2023,Social Club,1172,loop
9/29/2023,Super 8 Motel,281,north
9/29/2023,Wadsworth,626,south
9/29/2023,Walnut,544,west
9/29/2023,West Lake,,west
9/29/2023,Wright,,north
9/29/2023,YWLA,250,south
10/6/2023,American Islamic College,1198,north
10/6/2023,Brands Park,150,north
10/6/2023,Broadway Armory,347,north
10/6/2023,Casa Esperanza,,west
10/6/2023,Daley College,246,south
10/6/2023,Elston,,west
10/6/2023,Gage Park,388,south
10/6/2023,Halsted,397,south
10/6/2023,Harold Washington Library,,loop
10/6/2023,High Ridge YMCA,159,north
10/6/2023,Inn of Chicago,1156,loop
10/6/2023,Lakeshore Hotel,625,south
10/6/2023,Leone Beach,99,north
10/6/2023,Little Village - Pulaski CVS,,west
10/6/2023,MWRD,550,north
10/6/2023,Near South Health Center,155,south
10/6/2023,New Life Church,50,north
10/6/2023,North Park Village,170,north
10/6/2023,North Western,,west
10/6/2023,Ogden,647,west
10/6/2023,Parthenon,186,west
10/6/2023,Piotrowski Park,198,west
10/6/2023,Shield of Hope,,west
10/6/2023,Social Club,1191,loop
10/6/2023,Super 8 Motel,284,north
10/6/2023,Wadsworth,611,south
10/6/2023,Walnut,804,west
10/6/2023,West Lake,,west
10/6/2023,Wright,,north
10/6/2023,YWLA,249,south
10/13/2023,American Islamic College,1151,north
10/13/2023,Brands Park,145,north
10/13/2023,Broadway Armory,349,north
10/13/2023,Casa Esperanza,,west
10/13/2023,Daley College,256,south
10/13/2023,Elston,,west
10/13/2023,Gage Park,384,south
10/13/2023,Halsted,870,south
10/13/2023,Harold Washington Library,,loop
10/13/2023,High Ridge YMCA,158,north
10/13/2023,Inn of Chicago,1532,loop
10/13/2023,Lakeshore Hotel,616,south
10/13/2023,Leone Beach,98,north
10/13/2023,Little Village - Pulaski CVS,,west
10/13/2023,MWRD,548,north
10/13/2023,Near South Health Center,154,south
10/13/2023,New Life Church,47,north
10/13/2023,North Park Village,169,north
10/13/2023,North Western,,west
10/13/2023,Ogden,881,west
10/13/2023,Parthenon,185,west
10/13/2023,Piotrowski Park,197,west
10/13/2023,Shield of Hope,,west
10/13/2023,Social Club,1190,loop
10/13/2023,Super 8 Motel,281,north
10/13/2023,Wadsworth,616,south
10/13/2023,Walnut,798,west
10/13/2023,West Lake,144,west
10/13/2023,Wright,,north
10/13/2023,YWLA,249,south
10/20/2023,American Islamic College,1302,north
10/20/2023,Brands Park,148,north
10/20/2023,Broadway Armory,329,north
10/20/2023,Casa Esperanza,31,west
10/20/2023,Daley College,256,south
10/20/2023,Elston,,west
10/20/2023,Gage Park,376,south
10/20/2023,Halsted,973,south
10/20/2023,Harold Washington Library,,loop
10/20/2023,High Ridge YMCA,156,north
10/20/2023,Inn of Chicago,1533,loop
10/20/2023,Lakeshore Hotel,616,south
10/20/2023,Leone Beach,99,north
10/20/2023,Little Village - Pulaski CVS,,west
10/20/2023,MWRD,545,north
10/20/2023,Near South Health Center,153,south
10/20/2023,New Life Church,50,north
10/20/2023,North Park Village,182,north
10/20/2023,North Western,,west
10/20/2023,Ogden,890,west
10/20/2023,Parthenon,178,west
10/20/2023,Piotrowski Park,200,west
10/20/2023,Shield of Hope,,west
10/20/2023,Social Club,1167,loop
10/20/2023,Super 8 Motel,282,north
10/20/2023,Wadsworth,621,south
10/20/2023,Walnut,798,west
10/20/2023,West Lake,150,west
10/20/2023,Wright,,north
10/20/2023,YWLA,243,south
10/27/2023,American Islamic College,1283,north
10/27/2023,Brands Park,150,north
10/27/2023,Broadway Armory,345,north
10/27/2023,Casa Esperanza,37,west
10/27/2023,Daley College,249,south
10/27/2023,Elston,,west
10/27/2023,Gage Park,385,south
10/27/2023,Halsted,1272,south
10/27/2023,Harold Washington Library,,loop
10/27/2023,High Ridge YMCA,157,north
10/27/2023,Inn of Chicago,1499,loop
10/27/2023,Lakeshore Hotel,628,south
10/27/2023,Leone Beach,99,north
10/27/2023,Little Village - Pulaski CVS,,west
10/27/2023,MWRD,550,north
10/27/2023,Near South Health Center,146,south
10/27/2023,New Life Church,50,north
10/27/2023,North Park Village,176,north
10/27/2023,North Western,,west
10/27/2023,Ogden,895,west
10/27/2023,Parthenon,186,west
10/27/2023,Piotrowski Park,200,west
10/27/2023,Shield of Hope,,west
10/27/2023,Social Club,1192,loop
10/27/2023,Super 8 Motel,280,north
10/27/2023,Wadsworth,621,south
10/27/2023,Walnut,786,west
10/27/2023,West Lake,315,west
10/27/2023,Wright,,north
10/27/2023,YWLA,248,south
11/3/2023,American Islamic College,1269,north
11/3/2023,Brands Park,146,north
11/3/2023,Broadway Armory,344,north
11/3/2023,Casa Esperanza,41,west
11/3/2023,Daley College,246,south
11/3/2023,Elston,,west
11/3/2023,Gage Park,389,south
11/3/2023,Halsted,1291,south
11/3/2023,Harold Washington Library,,loop
11/3/2023,High Ridge YMCA,155,north
11/3/2023,Inn of Chicago,1531,loop
11/3/2023,Lakeshore Hotel,607,south
11/3/2023,Leone Beach,99,north
11/3/2023,Little Village - Pulaski CVS,,west
11/3/2023,MWRD,542,north
11/3/2023,Near South Health Center,155,south
11/3/2023,New Life Church,50,north
11/3/2023,North Park Village,167,north
11/3/2023,North Western,,west
11/3/2023,Ogden,882,west
11/3/2023,Parthenon,185,west
11/3/2023,Piotrowski Park,202,west
11/3/2023,Shield of Hope,,west
11/3/2023,Social Club,1196,loop
11/3/2023,Super 8 Motel,282,north
11/3/2023,Wadsworth,629,south
11/3/2023,Walnut,795,west
11/3/2023,West Lake,303,west
11/3/2023,Wright,,north
11/3/2023,YWLA,244,south
11/10/2023,American Islamic College,1269,north
11/10/2023,Brands Park,142,north
11/10/2023,Broadway Armory,344,north
11/10/2023,Casa Esperanza,41,west
11/10/2023,Daley College,253,south
11/10/2023,Elston,,west
11/10/2023,Gage Park,380,south
11/10/2023,Halsted,1264,south
11/10/2023,Harold Washington Library,,loop
11/10/2023,High Ridge YMCA,158,north
11/10/2023,Inn of Chicago,1507,loop
11/10/2023,Lakeshore Hotel,619,south
11/10/2023,Leone Beach,98,north
11/10/2023,Little Village - Pulaski CVS,,west
11/10/2023,MWRD,542,north
11/10/2023,Near South Health Center,154,south
11/10/2023,New Life Church,49,north
11/10/2023,North Park Village,174,north
11/10/2023,North Western,201,west
11/10/2023,Ogden,1127,west
11/10/2023,Parthenon,182,west
11/10/2023,Piotrowski Park,197,west
11/10/2023,Shield of Hope,,west
11/10/2023,Social Club,1197,loop
11/10/2023,Super 8 Motel,280,north
11/10/2023,Wadsworth,621,south
11/10/2023,Walnut,780,west
11/10/2023,West Lake,300,west
11/10/2023,Wright,,north
11/10/2023,YWLA,246,south
11/17/2023,American Islamic College,1228,north
11/17/2023,Brands Park,134,north
11/17/2023,Broadway Armory,317,north
11/17/2023,Casa Esperanza,43,west
11/17/2023,Daley College,246,south
11/17/2023,Elston,,west
11/17/2023,Gage Park,385,south
11/17/2023,Halsted,1385,south
11/17/2023,Harold Washington Library,,loop
11/17/2023,High Ridge YMCA,151,north
11/17/2023,Inn of Chicago,1488,loop
11/17/2023,Lakeshore Hotel,606,south
11/17/2023,Leone Beach,94,north
11/17/2023,Little Village - Pulaski CVS,,west
11/17/2023,MWRD,549,north
11/17/2023,Near South Health Center,153,south
11/17/2023,New Life Church,47,north
11/17/2023,North Park Village,175,north
11/17/2023,North Western,187,west
11/17/2023,Ogden,1127,west
11/17/2023,Parthenon,182,west
11/17/2023,Piotrowski Park,186,west
