committee_name,simple_lean
BOLLIER FOR KANSAS,D
BRIANNA WU FOR CONGRESS,D
GOROFF FOR CONGRESS,D
MOVEMENT VOTER PAC,D
ALEX MORSE FOR CONGRESS,D
MIJENTE PAC,D
HARPER FOR CONGRESS,D
RUBANDO FOR CONGRESS,D
PRO-ISRAEL AMERICA PAC,S
ROMANOFF FOR COLORADO,D
"JOHN JAMES FOR SENATE, INC.",R
COMMITTEE TO ELECT TEDRA COBB,D
HICKENLOOPER FOR COLORADO,D
DR. AL GROSS FOR U.S. SENATE,D
SARA GIDEON FOR MAINE,D
POWERED BY PEOPLE,D
WELCH FOR CONGRESS,D
DR. CAMERON WEBB FOR CONGRESS,D
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,R
FRIENDS OF DAN FEEHAN,D
SHAHEEN FOR SENATE,D
OUR EVERYDAY PAC,D
TULSI ALOHA,D
"BOOKER FOR THE PEOPLE, LTD",D
FLIPPABLE (FEDERAL),D
STOP REPUBLICANS,D
ONE COUNTRY FUND,D
BIDEN ACTION FUND,D
MJ FOR TEXAS,D
PEOPLE FOR BEN,D
FRIENDS OF MARK WARNER,D
JUST THE TRUTH POLITICAL ACTION COMMITTEE,D
CAL FOR NC,D
"DEMOCRACY ENGINE, INC., PAC",D
BULLOCK VICTORY FUND,D
MCCONNELL SENATE COMMITTEE,R
THERESA GREENFIELD FOR IOWA,D
PROGRESSIVE CHANGE CAMPAIGN COMMITTEE,D
PEOPLE'S ACTION POWER,D
BIDEN FIGHT FUND,D
DITCH FUND,D
NORTH CAROLINA DEMOCRATIC PARTY - FEDERAL,D
BRADY PAC,D
AMERICA VOTES ACTION FUND,D
TORRES FOR CONGRESS,D
LMG PAC,D
TEXAS DEMOCRATIC PARTY,D
COHN FOR CONGRESS 2020,D
MONTANANS FOR BULLOCK,D
COLLINS FOR SENATOR,R
KAMALA HARRIS FOR THE PEOPLE,D
BIDEN FOR PRESIDENT/BIDEN VICTORY FUND,D
