major,year,share_students
Comparative Literature,2006,0.008226691042047532
Comparative Literature,2007,0.010371650821089023
Comparative Literature,2008,0.009282700421940928
Comparative Literature,2009,0.006628003314001657
Comparative Literature,2010,0.0041356492969396195
Comparative Literature,2011,0.0015748031496062992
Comparative Literature,2012,0.00322061191626409
Comparative Literature,2013,0.008607198748043818
Comparative Literature,2014,0.004332129963898917
Comparative Literature,2015,0.006787330316742082
Comparative Literature,2016,0.0034129692832764505
Comparative Literature,2017,0.002863278453829635
Comparative Literature,2018,0.0014134275618374558
Comparative Literature,2019,0.003947368421052632
Comparative Literature,2020,0.003929273084479371
Comparative Literature,2021,0.001878522229179712
Comparative Literature,2022,0.004009163802978236
Comparative Literature,2023,5.920663114268798e-4
Comparative Literature,2024,0.0010384215991692627
Computer Science,2005,0.010261194029850746
Computer Science,2006,0.012797074954296161
Computer Science,2007,0.011235955056179775
Computer Science,2008,0.010126582278481013
Computer Science,2009,0.009113504556752278
Computer Science,2010,0.01240694789081886
Computer Science,2011,0.009448818897637795
Computer Science,2012,0.011272141706924315
Computer Science,2013,0.025039123630672927
Computer Science,2014,0.02454873646209386
Computer Science,2015,0.03092006033182504
Computer Science,2016,0.041638225255972695
Computer Science,2017,0.05511811023622047
Computer Science,2018,0.05512367491166078
Computer Science,2019,0.06315789473684211
Computer Science,2020,0.060903732809430254
Computer Science,2021,0.08077645585472762
Computer Science,2022,0.07216494845360824
Computer Science,2023,0.09295441089402014
Computer Science,2024,0.10903426791277258
Creative Writing,2019,0.015789473684210527
Creative Writing,2020,0.016371971185330715
Creative Writing,2021,0.022542266750156543
Creative Writing,2022,0.021191294387170677
Creative Writing,2023,0.018354055654233273
Creative Writing,2024,0.01973001038421599
Data Science,2021,0
Data Science,2022,0.001145475372279496
Data Science,2023,0.0041444641799881585
Data Science,2024,0.024402907580477674
East Asian Lang/Civ,2005,0.011194029850746268
East Asian Lang/Civ,2006,0.012797074954296161
East Asian Lang/Civ,2007,0.006050129645635264
East Asian Lang/Civ,2008,0.008438818565400843
East Asian Lang/Civ,2009,0.020712510356255178
East Asian Lang/Civ,2010,0.009925558312655087
East Asian Lang/Civ,2011,0.007874015748031496
East Asian Lang/Civ,2012,0.010466988727858293
East Asian Lang/Civ,2013,0.006259780907668232
East Asian Lang/Civ,2014,0.020938628158844765
East Asian Lang/Civ,2015,0.01282051282051282
East Asian Lang/Civ,2016,0.012286689419795221
East Asian Lang/Civ,2017,0.009305654974946313
East Asian Lang/Civ,2018,0.012720848056537103
East Asian Lang/Civ,2019,0.009210526315789473
East Asian Lang/Civ,2020,0.008513425016371971
East Asian Lang/Civ,2021,0.008766437069505322
East Asian Lang/Civ,2022,0.006300114547537228
East Asian Lang/Civ,2023,0.010065127294256957
East Asian Lang/Civ,2024,0.006230529595015576
Economics,2005,0.2248134328358209
Economics,2006,0.21846435100548445
Economics,2007,0.20224719101123595
Economics,2008,0.1780590717299578
Economics,2009,0.21292460646230324
Economics,2010,0.21588089330024815
Economics,2011,0.2346456692913386
Economics,2012,0.2109500805152979
Economics,2013,0.20579029733959311
Economics,2014,0.23104693140794225
Economics,2015,0.248868778280543
Economics,2016,0.2525597269624573
Economics,2017,0.2619899785254116
Economics,2018,0.24664310954063604
Economics,2019,0.2657894736842105
Economics,2020,0.2770137524557957
Economics,2021,0.30745147150907953
Economics,2022,0.3631156930126002
Economics,2023,0.36826524570751923
Economics,2024,0.35202492211838005
English Language/Literature,2005,0.07182835820895522
English Language/Literature,2006,0.07221206581352833
English Language/Literature,2007,0.07605877268798616
English Language/Literature,2008,0.06413502109704641
English Language/Literature,2009,0.07290803645401822
English Language/Literature,2010,0.06699751861042183
English Language/Literature,2011,0.06299212598425197
English Language/Literature,2012,0.07407407407407407
English Language/Literature,2013,0.06651017214397496
English Language/Literature,2014,0.06353790613718412
English Language/Literature,2015,0.05279034690799397
English Language/Literature,2016,0.05460750853242321
English Language/Literature,2017,0.048675733715103794
English Language/Literature,2018,0.04876325088339223
English Language/Literature,2019,0.046052631578947366
English Language/Literature,2020,0.038637851997380485
English Language/Literature,2021,0.03318722604884158
English Language/Literature,2022,0.030927835051546393
English Language/Literature,2023,0.03137951450562463
English Language/Literature,2024,0.028037383177570093
Environmental Science,2005,0.013059701492537313
Environmental Science,2006,0.010968921389396709
Environmental Science,2007,0.011235955056179775
Environmental Science,2008,0.010970464135021098
Environmental Science,2009,0.00579950289975145
Environmental Science,2010,0.009925558312655087
Environmental Science,2011,0.008661417322834646
Environmental Science,2012,0.013687600644122383
Environmental Science,2013,0.010172143974960876
Environmental Science,2014,0.008664259927797834
Environmental Science,2015,0.01282051282051282
Environmental Science,2016,0.017747440273037544
Environmental Science,2017,0.0164638511095204
Environmental Science,2018,0.014840989399293287
Environmental Science,2019,0.015131578947368421
Environmental Science,2020,0.0137524557956778
Environmental Science,2021,0.011897307451471509
Environmental Science,2022,0.019473081328751432
Environmental Science,2023,0.02960331557134399
Environmental Science,2024,0.029075804776739357
Fundamentals: Issues/Texts,2005,0.005597014925373134
Fundamentals: Issues/Texts,2006,0.011882998171846435
Fundamentals: Issues/Texts,2007,0.012100259291270527
Fundamentals: Issues/Texts,2008,0.008438818565400843
Fundamentals: Issues/Texts,2009,0.007456503728251864
Fundamentals: Issues/Texts,2010,0.004962779156327543
Fundamentals: Issues/Texts,2011,0.011023622047244094
Fundamentals: Issues/Texts,2012,0.010466988727858293
Fundamentals: Issues/Texts,2013,0.006259780907668232
Fundamentals: Issues/Texts,2014,0.005776173285198556
Fundamentals: Issues/Texts,2015,0.005279034690799397
Fundamentals: Issues/Texts,2016,0.0061433447098976105
Fundamentals: Issues/Texts,2017,0.006442376521116679
Fundamentals: Issues/Texts,2018,0.01060070671378092
Fundamentals: Issues/Texts,2019,0.011842105263157895
Fundamentals: Issues/Texts,2020,0.007858546168958742
Fundamentals: Issues/Texts,2021,0.011897307451471509
Fundamentals: Issues/Texts,2022,0.011454753722794959
Fundamentals: Issues/Texts,2023,0.005920663114268798
Fundamentals: Issues/Texts,2024,0.01142263759086189
Gender and Sexuality Studies,2005,0.002798507462686567
Gender and Sexuality Studies,2006,0.005484460694698354
Gender and Sexuality Studies,2007,0.006914433880726016
Gender and Sexuality Studies,2008,0.006751054852320675
Gender and Sexuality Studies,2009,0.004142502071251036
Gender and Sexuality Studies,2010,0.008271298593879239
Gender and Sexuality Studies,2011,0.005511811023622047
Gender and Sexuality Studies,2012,0.00644122383252818
Gender and Sexuality Studies,2013,0.003129890453834116
Gender and Sexuality Studies,2014,0.0036101083032490976
Gender and Sexuality Studies,2015,0.006787330316742082
Gender and Sexuality Studies,2016,0.008191126279863481
Gender and Sexuality Studies,2017,0.008589835361488905
Gender and Sexuality Studies,2018,0.004240282685512367
Gender and Sexuality Studies,2019,0.0059210526315789476
Gender and Sexuality Studies,2020,0.0045841519318926
Gender and Sexuality Studies,2021,0.005635566687539136
Gender and Sexuality Studies,2022,0.006300114547537228
Gender and Sexuality Studies,2023,0.0076968620485494375
Gender and Sexuality Studies,2024,0.009865005192107996
Geophysical Sciences,2005,0.0046641791044776115
Geophysical Sciences,2006,0.007312614259597806
Geophysical Sciences,2007,0.006050129645635264
Geophysical Sciences,2008,0.00590717299578059
Geophysical Sciences,2009,0.007456503728251864
Geophysical Sciences,2010,0.0033085194375516956
Geophysical Sciences,2011,0.007086614173228346
Geophysical Sciences,2012,0.008051529790660225
Geophysical Sciences,2013,0.012519561815336464
Geophysical Sciences,2014,0.01227436823104693
Geophysical Sciences,2015,0.007541478129713424
Geophysical Sciences,2016,0.00955631399317406
Geophysical Sciences,2017,0.009305654974946313
Geophysical Sciences,2018,0.0049469964664310955
Geophysical Sciences,2019,0.005263157894736842
Geophysical Sciences,2020,0.003929273084479371
Geophysical Sciences,2021,0.003757044458359424
Geophysical Sciences,2022,0.005154639175257732
Geophysical Sciences,2023,0.0041444641799881585
Geophysical Sciences,2024,0.004153686396677051
Germanic Studies,2005,9.328358208955224e-4
Germanic Studies,2006,0.0018281535648994515
Germanic Studies,2007,0.0025929127052722557
Germanic Studies,2008,0.007594936708860759
Germanic Studies,2009,0.008285004142502071
Germanic Studies,2010,0.0033085194375516956
Germanic Studies,2011,0.0015748031496062992
Germanic Studies,2012,0.001610305958132045
Germanic Studies,2013,0.004694835680751174
Germanic Studies,2014,0
Germanic Studies,2015,0
Germanic Studies,2016,0.0034129692832764505
Germanic Studies,2017,0.0035790980672870437
Germanic Studies,2018,0.0028268551236749115
Germanic Studies,2019,0.002631578947368421
Germanic Studies,2020,0.003929273084479371
Germanic Studies,2021,0.002504696305572949
Germanic Studies,2022,0.002290950744558992
Germanic Studies,2023,0.0041444641799881585
Germanic Studies,2024,0.001557632398753894
Global Studies,2005,0.041044776119402986
Global Studies,2006,0.025594149908592323
Global Studies,2007,0.049265341400172864
Global Studies,2008,0.05063291139240506
Global Studies,2009,0.03396851698425849
Global Studies,2010,0.04218362282878412
Global Studies,2011,0.023622047244094488
Global Studies,2012,0.03864734299516908
Global Studies,2013,0.03129890453834116
Global Studies,2014,0.022382671480144403
Global Studies,2015,0.02865761689291101
Global Studies,2016,0.029351535836177476
Global Studies,2017,0.01789549033643522
Global Studies,2018,0.014134275618374558
Global Studies,2019,0.01118421052631579
Global Studies,2020,0.011132940406024885
Global Studies,2021,0.013775829680651221
Global Studies,2022,0.0074455899198167235
Global Studies,2023,0.013617525162818236
Global Studies,2024,0.01921079958463136
HIPSS,2005,0.013059701492537313
HIPSS,2006,0.013711151736745886
HIPSS,2007,0.014693171996542784
HIPSS,2008,0.01181434599156118
HIPSS,2009,0.006628003314001657
HIPSS,2010,0.009925558312655087
HIPSS,2011,0.003937007874015748
HIPSS,2012,0.007246376811594203
HIPSS,2013,0.006259780907668232
HIPSS,2014,0.007220216606498195
HIPSS,2015,0.005279034690799397
HIPSS,2016,0.006825938566552901
HIPSS,2017,0.0035790980672870437
HIPSS,2018,0.0035335689045936395
HIPSS,2019,0.003947368421052632
HIPSS,2020,0.007203667321545514
HIPSS,2021,0.0031308703819661866
HIPSS,2022,0.0057273768613974796
HIPSS,2023,0.0017761989342806395
HIPSS,2024,0.0036344755970924196
History,2005,0.061567164179104475
History,2006,0.05758683729433273
History,2007,0.05790838375108038
History,2008,0.059915611814345994
History,2009,0.053852526926263466
History,2010,0.06451612903225806
History,2011,0.04409448818897638
History,2012,0.03462157809983897
History,2013,0.041471048513302036
History,2014,0.044765342960288806
History,2015,0.04524886877828054
History,2016,0.03822525597269624
History,2017,0.03793843951324266
History,2018,0.0431095406360424
History,2019,0.04407894736842105
History,2020,0.03994760969220694
History,2021,0.046336881653099564
History,2022,0.03951890034364261
History,2023,0.03966844286560095
History,2024,0.03997923156801662
Human Rights,2023,0.005920663114268798
Human Rights,2024,0.006230529595015576
Interdisciplinary Studies in the Humanities,2005,0.022388059701492536
Interdisciplinary Studies in the Humanities,2006,0.022851919561243144
Interdisciplinary Studies in the Humanities,2007,0.021607605877268798
Interdisciplinary Studies in the Humanities,2008,0.010970464135021098
Interdisciplinary Studies in the Humanities,2009,0.014084507042253521
Interdisciplinary Studies in the Humanities,2010,0.009925558312655087
Interdisciplinary Studies in the Humanities,2011,0.009448818897637795
Interdisciplinary Studies in the Humanities,2012,0.00644122383252818
Interdisciplinary Studies in the Humanities,2013,0.007042253521126761
Interdisciplinary Studies in the Humanities,2014,0.0036101083032490976
Interdisciplinary Studies in the Humanities,2015,0.006033182503770739
Interdisciplinary Studies in the Humanities,2016,0.0061433447098976105
Interdisciplinary Studies in the Humanities,2017,0.0021474588403722263
Interdisciplinary Studies in the Humanities,2018,0.007067137809187279
Interdisciplinary Studies in the Humanities,2019,0.0013157894736842105
Interdisciplinary Studies in the Humanities,2020,0.0045841519318926
Interdisciplinary Studies in the Humanities,2021,6.261740763932373e-4
Interdisciplinary Studies in the Humanities,2022,0
Interdisciplinary Studies in the Humanities,2023,0
Interdisciplinary Studies in the Humanities,2024,0
Jewish Studies,2005,0
Jewish Studies,2006,0.002742230347349177
Jewish Studies,2007,0
Jewish Studies,2008,8.438818565400844e-4
Jewish Studies,2009,0.0016570008285004142
Jewish Studies,2010,0
Jewish Studies,2012,8.051529790660225e-4
Jewish Studies,2013,7.82472613458529e-4
Jewish Studies,2014,0
Jewish Studies,2015,7.541478129713424e-4
Jewish Studies,2016,6.825938566552901e-4
Jewish Studies,2017,7.158196134574087e-4
Jewish Studies,2018,0.0014134275618374558
Jewish Studies,2019,6.578947368421052e-4
Jewish Studies,2020,0.0019646365422396855
Jewish Studies,2021,0.0012523481527864746
Jewish Studies,2022,5.72737686139748e-4
Jewish Studies,2023,5.920663114268798e-4
Jewish Studies,2024,5.192107995846313e-4
Latin American/Carib Studies,2005,0.010261194029850746
Latin American/Carib Studies,2006,0.006398537477148081
Latin American/Carib Studies,2007,0.007778738115816767
Latin American/Carib Studies,2008,0.008438818565400843
Latin American/Carib Studies,2009,0.009113504556752278
Latin American/Carib Studies,2010,0.009925558312655087
Latin American/Carib Studies,2011,0.007086614173228346
Latin American/Carib Studies,2012,0.00322061191626409
Latin American/Carib Studies,2013,0.002347417840375587
Latin American/Carib Studies,2014,0.004332129963898917
Latin American/Carib Studies,2015,0.0015082956259426848
Latin American/Carib Studies,2016,0.004095563139931741
Latin American/Carib Studies,2017,0.0021474588403722263
Latin American/Carib Studies,2018,0.0028268551236749115
Latin American/Carib Studies,2019,0.004605263157894736
Latin American/Carib Studies,2020,0.0032743942370661427
Latin American/Carib Studies,2021,0.001878522229179712
Latin American/Carib Studies,2022,0.004581901489117984
Latin American/Carib Studies,2023,0.0017761989342806395
Latin American/Carib Studies,2024,0.0036344755970924196
Law/Letters/Society,2005,0.024253731343283583
Law/Letters/Society,2006,0.04570383912248629
Law/Letters/Society,2007,0.014693171996542784
Law/Letters/Society,2008,0.014345991561181435
Law/Letters/Society,2009,0.015741507870753936
Law/Letters/Society,2010,0.01488833746898263
Law/Letters/Society,2011,0.01653543307086614
Law/Letters/Society,2012,0.015297906602254429
Law/Letters/Society,2013,0.010954616588419406
Law/Letters/Society,2014,0.01444043321299639
Law/Letters/Society,2015,0.017345399698340876
Law/Letters/Society,2016,0.012286689419795221
Law/Letters/Society,2017,0.012168933428775949
Law/Letters/Society,2018,0.012720848056537103
Law/Letters/Society,2019,0.001973684210526316
Law/Letters/Society,2020,0.0013097576948264572
Law/Letters/Society,2021,0.015654351909830933
Law/Letters/Society,2022,0.015463917525773196
Law/Letters/Society,2023,0.023090586145648313
Law/Letters/Society,2024,0.021287642782969886
Linguistics,2005,0.012126865671641791
Linguistics,2006,0.01736745886654479
Linguistics,2007,0.010371650821089023
Linguistics,2008,0.017721518987341773
Linguistics,2009,0.015741507870753936
Linguistics,2010,0.01488833746898263
Linguistics,2011,0.014960629921259842
Linguistics,2012,0.017713365539452495
Linguistics,2013,0.010172143974960876
Linguistics,2014,0.013718411552346571
Linguistics,2015,0.014328808446455505
Linguistics,2016,0.015699658703071672
Linguistics,2017,0.013600572655690766
Linguistics,2018,0.018374558303886925
Linguistics,2019,0.01381578947368421
Linguistics,2020,0.014407334643091027
Linguistics,2021,0.01878522229179712
Linguistics,2022,0.012027491408934709
Linguistics,2023,0.0076968620485494375
Linguistics,2024,0.010384215991692628
Mathematics,2005,0.0708955223880597
Mathematics,2006,0.06489945155393052
Mathematics,2007,0.07778738115816768
Mathematics,2008,0.06497890295358649
Mathematics,2009,0.07953603976801989
Mathematics,2010,0.07196029776674938
Mathematics,2011,0.08267716535433071
Mathematics,2012,0.08293075684380032
Mathematics,2013,0.09859154929577464
Mathematics,2014,0.09891696750902527
Mathematics,2015,0.09502262443438914
Mathematics,2016,0.10784982935153584
Mathematics,2017,0.11882605583392986
Mathematics,2018,0.11095406360424029
Mathematics,2019,0.12171052631578948
Mathematics,2020,0.10412573673870335
Mathematics,2021,0.10832811521603006
Mathematics,2022,0.09679266895761741
Mathematics,2023,0.10716400236826525
Mathematics,2024,0.0976116303219107
Medieval Studies,2005,0.0046641791044776115
Medieval Studies,2006,0.004570383912248629
Medieval Studies,2007,0
Medieval Studies,2008,8.438818565400844e-4
Medieval Studies,2009,0.0016570008285004142
Medieval Studies,2010,0.0033085194375516956
Medieval Studies,2012,0.0024154589371980675
Medieval Studies,2013,7.82472613458529e-4
Medieval Studies,2014,0.0021660649819494585
Medieval Studies,2015,7.541478129713424e-4
Medieval Studies,2016,6.825938566552901e-4
Medieval Studies,2017,0.0021474588403722263
Medieval Studies,2018,0
Medieval Studies,2019,0.0013157894736842105
Medieval Studies,2020,0.0013097576948264572
Medieval Studies,2021,0.0012523481527864746
Medieval Studies,2022,5.72737686139748e-4
Medieval Studies,2023,0.003552397868561279
Medieval Studies,2024,0.001557632398753894
Molecular Engineering,2018,0.009187279151943463
Molecular Engineering,2019,0.018421052631578946
Molecular Engineering,2020,0.0137524557956778
Molecular Engineering,2021,0.01628052598622417
Molecular Engineering,2022,0.021191294387170677
Molecular Engineering,2023,0.023090586145648313
Molecular Engineering,2024,0.03063343717549325
Music,2005,0.002798507462686567
Music,2006,0.009140767824497258
Music,2007,0.007778738115816767
Music,2008,0.009282700421940928
Music,2009,0.004971002485501243
Music,2010,0.004962779156327543
Music,2011,0.006299212598425197
Music,2012,0.008856682769726247
Music,2013,0.006259780907668232
Music,2014,0.006498194945848376
Music,2015,0.003770739064856712
Music,2016,0.005460750853242321
Music,2017,0.006442376521116679
Music,2018,0.008480565371024734
Music,2019,0.003947368421052632
Music,2020,0.0032743942370661427
Music,2021,0.013775829680651221
Music,2022,0.004581901489117984
Music,2023,0.009473060982830076
Music,2024,0.005192107995846314
Near Eastern Lang/Civ,2005,0.007462686567164179
Near Eastern Lang/Civ,2006,0.013711151736745886
Near Eastern Lang/Civ,2007,0.01296456352636128
Near Eastern Lang/Civ,2008,0.017721518987341773
Near Eastern Lang/Civ,2009,0.02236951118475559
Near Eastern Lang/Civ,2010,0.009098428453267164
Near Eastern Lang/Civ,2011,0.014173228346456693
Near Eastern Lang/Civ,2012,0.008856682769726247
Near Eastern Lang/Civ,2013,0.00782472613458529
Near Eastern Lang/Civ,2014,0.011552346570397111
Near Eastern Lang/Civ,2015,0.006787330316742082
Near Eastern Lang/Civ,2016,0.0061433447098976105
Near Eastern Lang/Civ,2017,0.0071581961345740875
Near Eastern Lang/Civ,2018,0.0077738515901060075
Near Eastern Lang/Civ,2019,0.008552631578947369
Near Eastern Lang/Civ,2020,0.008513425016371971
Near Eastern Lang/Civ,2021,0.0068879148403256105
Near Eastern Lang/Civ,2022,0.005154639175257732
Near Eastern Lang/Civ,2023,0.0017761989342806395
Near Eastern Lang/Civ,2024,0.004153686396677051
Neuroscience,2018,0.012014134275618375
Neuroscience,2019,0.023026315789473683
Neuroscience,2020,0.03994760969220694
Neuroscience,2021,0.03005635566687539
Neuroscience,2022,0.0429553264604811
Neuroscience,2023,0.03493191237418591
Neuroscience,2024,0.037383177570093455
Philosophy,2005,0.028917910447761194
Philosophy,2006,0.04021937842778794
Philosophy,2007,0.03111495246326707
Philosophy,2008,0.04556962025316456
Philosophy,2009,0.04971002485501243
Philosophy,2010,0.04052936311000827
Philosophy,2011,0.048818897637795275
Philosophy,2012,0.03784219001610306
Philosophy,2013,0.03755868544600939
Philosophy,2014,0.04259927797833935
Philosophy,2015,0.043740573152337855
Philosophy,2016,0.03822525597269624
Philosophy,2017,0.03579098067287044
Philosophy,2018,0.038869257950530034
Philosophy,2019,0.05394736842105263
Philosophy,2020,0.045841519318926
Philosophy,2021,0.041953663118346904
Philosophy,2022,0.0441008018327606
Philosophy,2023,0.036116044997039666
Philosophy,2024,0.03686396677050883
Physics,2005,0.027052238805970148
Physics,2006,0.029250457038391225
Physics,2007,0.033707865168539325
Physics,2008,0.035443037974683546
Physics,2009,0.029826014913007456
Physics,2010,0.03143093465674111
Physics,2011,0.029921259842519685
Physics,2012,0.03462157809983897
Physics,2013,0.04225352112676056
Physics,2014,0.046209386281588445
Physics,2015,0.03695324283559578
Physics,2016,0.05324232081911263
Physics,2017,0.04151753758052971
Physics,2018,0.0431095406360424
Physics,2019,0.03618421052631579
Physics,2020,0.0412573673870334
Physics,2021,0.040701314965560426
Physics,2022,0.037800687285223365
Physics,2023,0.028419182948490232
Physics,2024,0.0347871235721703
Political Science,2005,0.10820895522388059
Political Science,2006,0.09323583180987204
Political Science,2007,0.09420916162489196
Political Science,2008,0.09451476793248945
Political Science,2009,0.09030654515327258
Political Science,2010,0.11331679073614558
Political Science,2011,0.11653543307086614
Political Science,2012,0.10547504025764895
Political Science,2013,0.11737089201877934
Political Science,2014,0.10108303249097472
Political Science,2015,0.09200603318250378
Political Science,2016,0.08600682593856655
Political Science,2017,0.0901932712956335
Political Science,2018,0.08480565371024736
Political Science,2019,0.07434210526315789
Political Science,2020,0.06941715782580223
Political Science,2021,0.06825297432686286
Political Science,2022,0.06242840778923253
Political Science,2023,0.06571936056838366
Political Science,2024,0.0529595015576324
Psychology,2005,0.07742537313432836
Psychology,2006,0.061243144424131625
Psychology,2007,0.06568712186689715
Psychology,2008,0.0759493670886076
Psychology,2009,0.07456503728251865
Psychology,2010,0.043837882547559964
Psychology,2011,0.048031496062992125
Psychology,2012,0.03784219001610306
Psychology,2013,0.04538341158059468
Psychology,2014,0.04909747292418772
Psychology,2015,0.058823529411764705
Psychology,2016,0.049146757679180884
Psychology,2017,0.04509663564781675
Psychology,2018,0.04452296819787986
