Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
SOSC 14100,(s) Ryan Lange,19,8,8.75,0.148
SOSC 14100,(s) Alysson Light,19,10,7.5,0.223
SOSC 15200,(s) William Levine,18,8,7.5,0.226
SOSC 11500,(s) Omar Kutty,11,4,6.25,0.11
SOSC 12500,(s),19,9,5.83,0.235
SOSC 11600,(s)  Agnes Mondragon Celis Ochoa,6,3,7.5,0.238
SOSC 14100,(s) David Gallo,19,12,5.0,0.201
SOSC 14100,(s) Edward Awh,19,14,3.27,0.226
SOSC 12400,(s),15,10,12.0,0.105
SOSC 12600,(s),20,10,4.5,0.257
SOSC 14100,(s) Margaret Fulcher,19,15,4.29,0.257
SOSC 12500,(s),19,15,6.79,0.132
SOSC 11500,(s) Pamela Nogales,16,5,11.5,0.193
SOSC 12500,(s),15,4,8.75,0.194
SOSC 13110,(s) Jingyuan Qian,18,14,12.5,0.083
SOSC 11500,(s) Joy Wang,16,7,19.17,0.158
SOSC 12400,(s),18,12,12.5,0.165
SOSC 14100,(s) Alessandra Lembo,19,14,4.17,0.232
SOSC 14300,(s)  Duygu UygunTunc,17,6,5.83,0.078
SOSC 12600,(s),19,9,7.5,0.216
SOSC 15100,(s) Joshua Trubowitz,19,9,8.12,0.245
SOSC 14200,(s) Gregory Norman,19,8,3.12,0.148
SOSC 15200,(s) Julia Brown,18,16,8.27,0.201
SOSC 12500,(s),19,7,8.21,0.248
SOSC 13300,(s),18,8,8.33,0.228
SOSC 16200,(s) Salih Noor,18,8,9.17,0.186
SOSC 15100,(s) Jordan Jochim,10,9,5.28,0.167
SOSC 12600,(s),11,7,9.17,0.183
SOSC 14300,(s)  Alysson Light,18,5,8.5,0.216
SOSC 15200,(s) Gary B Herrigel,15,6,8.33,0.195
SOSC 12600,(s),19,10,6.0,0.241
SOSC 14200,(s) Shigehiro Oishi,19,9,6.39,0.239
SOSC 12400,(s),18,7,6.67,0.184
SOSC 12600,(s),20,13,4.04,0.227
SOSC 12500,(s),19,7,6.07,0.222
SOSC 14300,(s)  Yuan Leong,19,17,3.65,0.303
SOSC 12500,(s),19,11,6.59,0.222
